protocol=H-20260910-11
source_revision=8dfbfb8f15eb2ff3d84629385cde99cd9f2bc9aa
source_sha256=d0bf0974df7b4d7c1f8f47369e80f939bf5f801e92fc2ffc36a2beebe199779b
INDEPENDENT=all binary words through length15 agree with the gap generator
NEGATIVE_CONTROL={"newest_first": "ASAASAS", "lag": 7, "P2": true, "no_SS": true, "clean": false}
HOLDOUT={"S_count": 187, "length": 375, "words": 17766, "P2_no_SAAS": 0, "P2_with_SAAS": 47, "violations": 0}
HOLDOUT={"S_count": 188, "length": 377, "words": 17955, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 189, "length": 379, "words": 18145, "P2_no_SAAS": 1, "P2_with_SAAS": 47, "violations": 0}
HOLDOUT={"S_count": 190, "length": 381, "words": 18336, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 191, "length": 383, "words": 18528, "P2_no_SAAS": 0, "P2_with_SAAS": 48, "violations": 0}
HOLDOUT={"S_count": 192, "length": 385, "words": 18721, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 193, "length": 387, "words": 18915, "P2_no_SAAS": 1, "P2_with_SAAS": 48, "violations": 0}
HOLDOUT={"S_count": 194, "length": 389, "words": 19110, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 195, "length": 391, "words": 19306, "P2_no_SAAS": 0, "P2_with_SAAS": 49, "violations": 0}
HOLDOUT={"S_count": 196, "length": 393, "words": 19503, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 197, "length": 395, "words": 19701, "P2_no_SAAS": 1, "P2_with_SAAS": 49, "violations": 0}
HOLDOUT={"S_count": 198, "length": 397, "words": 19900, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 199, "length": 399, "words": 20100, "P2_no_SAAS": 0, "P2_with_SAAS": 50, "violations": 0}
